上目,super-order,目,order,亜目,sub-order,科,family,亜科,sub-family,genus,sub-genus,属,species,種
ニセウニ上目, Bothriocidaracea,ニセウニ目,Bothriocidaroida,-,-,ニセウニ科,Bothriocidaridae,-,-,Bothriocidaris,-,ニセウニ属,globulus,-
ニセウニ上目, Bothriocidaracea,ニセウニ目,Bothriocidaroida,-,-,ニセウニ科,Bothriocidaridae,-,-,Bothriocidaris,-,ニセウニ属,pahleni,-
ウミリンゴモドキ上目,Echinocystitacea,ウミリンゴモドキ目,Echinocystitoida,-,-,ウミリンゴモドキ科,Echinocystitidae,-,-,Echinocystites,-,-,-,-
ウミリンゴモドキ上目,Echinocystitacea,ウミリンゴモドキ目,Echinocystitoida,-,-,レピデステス科,Lepidesthidae,-,-,Lepidesthes,-,-,-,-
ウミリンゴモドキ上目,Echinocystitacea,ウミリンゴモドキ目,Echinocystitoida,-,-,レピデステス科,Lepidesthidae,-,-,Meekechinus,-,-,-,-
ウミリンゴモドキ上目,Echinocystitacea,ウミリンゴモドキ目,Echinocystitoida,-,-,ウロコウニ科,Lepidocentridae,-,-,Aulechinus,-,-,-,-
ウミリンゴモドキ上目,Echinocystitacea,ウミリンゴモドキ目,Echinocystitoida,-,-,ウロコウニ科,Lepidocentridae,-,-,Ectinechinus,-,-,-,-
ウミリンゴモドキ上目,Echinocystitacea,ウミリンゴモドキ目,Echinocystitoida,-,-,ウロコウニ科,Lepidocentridae,-,-,Palaeodiscus,-,-,-,-
ウミリンゴモドキ上目,Echinocystitacea,ウミリンゴモドキ目,Echinocystitoida,-,-,ウロコウニ科,Lepidocentridae,-,-,Hyattechinus,-,-,-,-
ウミリンゴモドキ上目,Echinocystitacea,ウミリンゴモドキ目,Echinocystitoida,-,-,ウロコウニ科,Lepidocentridae,-,-,Myriastiches,-,-,-,-
ウミリンゴモドキ上目,Echinocystitacea,ウミリンゴモドキ目,Echinocystitoida,-,-,ウロコウニ科,Lepidocentridae,-,-,Eothuria,-,-,-,-
ウミリンゴモドキ上目,Echinocystitacea,ウミリンゴモドキ目,Echinocystitoida,-,-,ウロコウニ科,Lepidocentridae,-,-,Lepidocentrus,-,-,-,-
ウミリンゴモドキ上目,Echinocystitacea,ムカシウニ目,Palaechinoida,-,-,ムカシウニ科,Palaechinidae,-,-,Palaechinus,-,-,-,-
ウミリンゴモドキ上目,Echinocystitacea,ムカシウニ目,Palaechinoida,-,-,ムカシウニ科,Palaechinidae,-,-,Melonechinus,-,-,-,-
ウミリンゴモドキ上目,Echinocystitacea,ムカシウニ目,Palaechinoida,-,-,ムカシウニ科,Palaechinidae,-,-,Lovenechinus,-,-,-,-
ウミリンゴモドキ上目,Echinocystitacea,ムカシウニ目,Palaechinoida,-,-,クラベネキヌス科,Cravenechinidae,-,-,Cravenechinus,-,-,-,-
ウミリンゴモドキ上目,Echinocystitacea,ムカシウニ目,Palaechinoida,-,-,クラベネキヌス科,Cravenechinidae,-,-,Xenechinus,-,-,-,-
ウミリンゴモドキ上目,Echinocystitacea,ムカシウニ目,Palaechinoida,-,-,クラベネキヌス科,Cravenechinidae,-,-,Gotlandechinus,-,-,-,-
キダリス上目,Cidaracea,キダリス目,Cidaroida,-,-,ムカシキダリス科,Archaeocidaridae,-,-,Archaeocidaris,-,-,-,-
キダリス上目,Cidaracea,キダリス目,Cidaroida,-,-,マイオキダリス科,Miocidaridae,-,-,Miocidaris,-,-,-,-
キダリス上目,Cidaracea,キダリス目,Cidaroida,-,-,マイオキダリス科,Miocidaridae,-,-,Serpianotiaris,-,-,-,-
キダリス上目,Cidaracea,キダリス目,Cidaroida,-,-,ホンキダリス科,Cidaridae,トゲナガキダリス亜科,Histocidarinae,Histocidaris,-,トゲナガキダリス属,elegans,トゲナガキダリス
キダリス上目,Cidaracea,キダリス目,Cidaroida,-,-,ホンキダリス科,Cidaridae,トゲナガキダリス亜科,Histocidarinae,Histocidaris,-,トゲナガキダリス属,misakiensis,-
キダリス上目,Cidaracea,キダリス目,Cidaroida,-,-,ホンキダリス科,Cidaridae,トゲナガキダリス亜科,Histocidarinae,Histocidaris,-,トゲナガキダリス属,carinata,-
キダリス上目,Cidaracea,キダリス目,Cidaroida,-,-,ホンキダリス科,Cidaridae,トゲナガキダリス亜科,Histocidarinae,Poriocidaris,-,-,-,-
キダリス上目,Cidaracea,キダリス目,Cidaroida,-,-,ホンキダリス科,Cidaridae,コガタキダリス亜科,Ctenocidarinae,Aporocidaris,-,-,fragilis,-
キダリス上目,Cidaracea,キダリス目,Cidaroida,-,-,ホンキダリス科,Cidaridae,コガタキダリス亜科,Ctenocidarinae,Austrocidaris,-,-,-,-
キダリス上目,Cidaracea,キダリス目,Cidaroida,-,-,ホンキダリス科,Cidaridae,コガタキダリス亜科,Ctenocidarinae,Ctenocidaris,-,-,-,-
