no.,-,order,family,genus_(sub genus),species,japanese_name,japanese_name2,auther?,remarks
1,Regularia,Cidaroidea,Cidaridae,Goniocidaris (Petalocidaris),biserialis,Togezao-uni,トゲザオウニ,-,
2,Regularia,Cidaroidea,Cidaridae,Goniocidaris (Discocidaris),mikado,Mikado-uni,ミカドウニ,-,
3,Regularia,Cidaroidea,Cidaridae,Stereocidaris (Rhalacrocidaris),japonica,Hutozao-uni,フトザオウニ,-,
4,Regularia,Cidaroidea,Cidaridae,Eucidaris,metularia,Matukasa-uni,マツカサウニ,UTINOMI,
5,Regularia,Cidaroidea,Cidaridae,Plococidaris,verticillata,Husizao-uni,フシザオウニ,nom. nov.,
6,Regularia,Cidaroidea,Cidaridae,Prionocidaris,baculosa var. annulifera,Nokogiri-uni,ノコギリウニ,UTINOMI,
7,Regularia,Lepidocentroida,Echinothuridae,Calveriosoma,gracile,Harinaga-hukuro-uni,ハリナガフクロウニ,OHSHIMA,
8,Regularia,Lepidocentroida,Echinothuridae,Asthenosoma,ijimai,Ijima-hukuro-uni,イイジマフクロウニ,OHSHIMA,
9,Regularia,Stirodonta,Stomopneustidae,Stomopneustes,variolaris,Kuro-uni,クロウニ,UTINOMI,
10,Regularia,Stirodonta,Arbaciidae,Coelopleurus,maculatus,Azuma-uni,アズマウニ,OHSHIMA,
11,Regularia,Aulodonta,Pedinidae,Caenopedina,mirabilis,Otome-uni,オトメウニ,nom. nov.,
12,Regularia,Aulodonta,Pedinidae,Astropyga,radiata,Akaoni-gaze,アカオニガゼ,nom. nov.,
13,Regularia,Aulodonta,Pedinidae,Chaetodiadema,japonicum,Yawara-gaze,ヤワラガゼ,nom. nov.,
14,Regularia,Aulodonta,Pedinidae,Diadema,setosum,Gangaze,ガンガゼ,-,
15,Regularia,Aulodonta,Pedinidae,Diadema,savignyi,Aosuzi-gangaze,アオスジガンガゼ,nom. nov.,
16,Regularia,Aulodonta,Pedinidae,Echinothrix,calamaris,Tokkuri-gangaze-modoki,トックリガンガゼモドキ,nom. nov.,
17,Regularia,Aulodonta,Pedinidae,Echrnothrix,diadema,Gangaze-modoki,ガンガゼモドキ,OHSHIMA,
18,Regularia,Camarodonta,Temnopleuridae,Temnopleurus,toreumaticus,Sansyô-uni,サンショウウニ,-,
19,Regularia,Camarodonta,Temnopleuridae,Temnopleurus (Toreumatica),reevesii,Hari-sansyô-uni,ハリサンショウウニ,nom. nov.,
20,Regularia,Camarodonta,Temnopleuridae,Temnopleurus (Toreumatica),apodus,Kotubu-sansyô-uni,コツブサンショウウニ,nom. nov.,
21,Regularia,Camarodonta,Temnopleuridae,Salmaciella,dussumieri,Nisiki-uni,ニシキウニ,nom. nov.,
22,Regularia,Camarodonta,Temnopleuridae,Mespilia,globulus,Kosidaka-uni,コシダカウニ,-,
23,Regularia,Camarodonta,Temnopleuridae,Temnotrema,sculptum,Hime-uni,ヒメウニ,nom. nov.,
24,Regularia,Camarodonta,Toxopneustidae,Toxopneustes,pileolus,Rappa-uni,ラッパウニ,-,
25,Regularia,Camarodonta,Toxopneustidae,Tripneustes,gratilla,Sirahige-uni,シラヒゲウニ,-,
26,Regularia,Camarodonta,Toxopneustidae,Pseudoboletia,maculata,Madara-uni,マダラウニ,nom. nov.,
27,Regularia,Camarodonta,Toxopneustidae,Pseudocentrotus,depressus,Aka-uni or Hirata-uni,アカウニ or ヒラタウニ,-,
28,Regularia,Camarodonta,Strongylocentrotidae,Hemicentrotus,pulcherrimus,Bahun-uni,バフンウニ,-,
29,Regularia,Camarodonta,Parasaleniidae,Parasalenia,gratiosa,Nagauni-modoki,ナガウニモドキ,Ohshima,
30,Regularia,Camarodonta,Echinometridae,Echinostrephus,aciculatus,Tawasi-uni,タワシウニ,UTINOMI,
31,Regularia,Camarodonta,Echinometridae,Anthocidaris,crassispina,Murasaki-uni,ムラサキウニ,-,
32,Regularia,Camarodonta,Echinometridae,Echinometra,mathaei,Naga-uni,ナガウニ,ONODA,
33,Regularia,Camarodonta,Echinometridae,Colobocentrotus,mertensii,Zingasa-uni,ジンガサウニ,OHSHIMA,
34,Irregularia,Holectypoida,Echinoneidae,Echinoneus,cyclostomus,Tamago-uni,タマゴウニ,nom. nov.,
35,Irregularia,Cassiduloida,Echinolampadidae,Planilampas,sternopetala,Manzyû-uni,マンジュウウニ,UTINOMI,
36,Irregularia,Clypeastroida,Clypeastridae,Clypeaster,reticulatus,Kasuri-takonomakura,カスリタコノマクラ,nom. nov.,orderのtのあとのeが抜けている
37,Irregularia,Clypeastroida,Clypeastridae,Clypeaster,virescens,Ô-takonomakura,オオタコノマクラ,nom. nov.,
38,Irregularia,Clypeastroida,Clypeastridae,Clypeaster,japonicus,Takanomakura,タカノマクラ,-,aは多分ミス
39,Irregularia,Clypeastroida,Fibulariidae,Echinocyamus,crispus,Botan-uni,ボタンウニ,nom. nov.,
40,Irregularia,Clypeastroida,Fibulariidae,Fibularia (Fibulariella),acuta,Mame-uni,マメウニ,OHSHIMA,
41,Irregularia,Clypeastroida,Laganidae,Peronella,japonica,Yotuana-kasipan,ヨツアナカシパン,-,
42,Irregularia,Clypeastroida,Laganidae,Peronella,pellucida,Usu-yotuana-kasipan,ウスヨツアナカシパン,nom. nov.,
43,Irregularia,Clypeastroida,Laganidae,Peronella,minuta,Mame-yotuana-kasipan,マメヨツアナカシパン,nom. nov.,
44,Irregularia,Clypeastroida,Laganidae,Laganum,fudsiyama,Huziyama-kasipan,フジヤマカシパン,-,
45,Irregularia,Clypeastroida,Scutellidae,Scaphechinus,mirabilis,Hasunoha-kasipan,ハスノハカシパン,-,
46,Irregularia,Clypeastroida,Scutellidae,Scaphechinus,tenuis,Usu-hasunoha-kasipan,ウスハスノハカシパン,nom. nov.,
47,Irregularia,Clypeastroida,Scutellidae,Astriclypeus,manni,Sukasi-kasipan,スカシカシパン,OHSHIMA,
48,Irregularia,Spatangoida,Pourtalesiidae,Pourtalesia,laguncula,Tokkuri-bunbuku,トックリブンブク,OHSHIMA,
49,Irregularia,Spatangoida,Loveniidae,Lovenia,elongata,Hirata-bunbuku,ヒラタブンブク,OHSHIMA,
50,Irregularia,Spatangoida,Loveniidae,Echinocardium,cordatum,Okame-bunbuku,オカメブンブク,OHSHIMA,
51,Irregularia,Spatangoida,Schizasteridae,Schizaster,lacunosus,Bunbukutyagama,ブンブクチャガマ,-,
52,Irregularia,Spatangoida,Brissidae,Brissopsis,luzonica,Bunbuku-modoki,ブンブクモドキ,nom. nov.,
53,Irregularia,Spatangoida,Brissidae,Brissus (Allobrissus),agassizi,Ô-Bunbuku,オオブンブク,-,
